student_id,session_id,session_start_ts,session_end_ts,event_count,total_duration_seconds,productive_duration_seconds,non_productive_duration_seconds,total_app_switches,switch_rate_per_min,typing_speed_mean,typing_speed_std,keystrokes_total,mouse_clicks_total,idle_time_total,mouse_coverage_mean,focus_percentage_mean,attention_time_total,attention_span_mean,compiler_runs_total,file_saves_total,compiler_count,app_category_time_share_ide,app_category_time_share_browser,app_category_time_share_games,app_category_time_share_media,app_category_time_share_other,top_app_name,top_app_category,low_mouse_coverage_ratio,repetitive_key_ratio,long_repeat_streak,spam_pattern_flag,non_productive_app_time_share,chrome_time_share,games_time_share,media_time_share,browser_non_edu_time_share,productive_time_share,idle_time_share,productivity_score
STU001,SES20250115_STU001_001,2025-01-15T09:06:00Z,2025-01-15T10:05:54Z,30,3748.0,1873.0,1788.0,103.0,1.6488794023479187,40.599999999999994,14.443299022961018,41476.0,530.0,558.0,0.21486333333333332,70.41499999999999,1635.0,6.800666666666666,86.0,108.0,5,30.389541088580575,17.28922091782284,3.8153681963713977,10.672358591248667,22.94557097118463,pycharm,IDE,0.03333333333333333,0.2924436879629544,162,1,47.705442902881536,29.855923159018143,3.8153681963713977,10.672358591248667,29.855923159018143,49.97331910352188,14.887940234791888,0.0
STU001,SES20250115_STU001_002,2025-01-15T11:02:00Z,2025-01-15T11:56:34Z,30,3396.0,1675.0,2117.0,82.0,1.448763250883392,36.108666666666664,16.171732278543598,35053.0,480.0,462.0,0.11841,66.234,1567.0,7.831666666666667,75.0,137.0,6,28.26855123674912,7.832744405182568,2.8563015312131923,16.578327444051826,30.859835100117785,youtube,IDE,0.5333333333333333,0.20933437031737917,17,0,62.33804475853945,33.09776207302709,2.8563015312131923,16.578327444051826,33.09776207302709,49.322732626619555,13.604240282685511,0.0
STU001,SES20250115_STU001_003,2025-01-15T11:14:00Z,2025-01-15T12:11:05Z,30,3523.0,1632.0,848.0,124.0,2.1118365029804145,39.93233333333334,16.643321920685054,41255.0,686.0,549.0,0.15817333333333336,63.169666666666664,1567.0,8.066666666666666,59.0,163.0,4,23.5310814646608,26.596650581890437,0.0,2.7249503264263413,31.56400794777178,vscode,Browser,0.26666666666666666,0.31566779397478356,168,1,24.070394550099348,16.80386034629577,0.0,2.7249503264263413,16.80386034629577,46.3241555492478,15.58330967925064,0.0
STU002,SES20250115_STU002_001,2025-01-15T10:33:00Z,2025-01-15T11:31:54Z,30,3671.0,3142.0,61.0,102.0,1.6671206755652412,55.040333333333336,9.082351561621522,65300.0,1187.0,160.0,0.32681666666666664,84.98800000000001,2368.0,9.676666666666668,301.0,465.0,6,49.659493326069196,5.42086624897848,0.0,0.0,40.561154998637974,pycharm,IDE,0.0,0.2921401290822558,112,1,1.6616725687823481,1.6616725687823481,0.0,0.0,1.6616725687823481,85.58975755924816,4.358485426314355,58.87885745417753
STU002,SES20250115_STU002_002,2025-01-15T09:09:00Z,2025-01-15T10:11:45Z,30,3857.0,2697.0,516.0,91.0,1.4156079854809438,56.91700000000001,10.308675359456553,69894.0,1336.0,149.0,0.21871333333333337,83.80066666666669,2584.0,10.066666666666666,186.0,316.0,6,39.1495981332642,18.61550427793622,0.0,3.396422089707026,34.97536945812808,pycharm,IDE,0.0,0.26487667992056935,80,1,13.378273269380347,9.98185117967332,0.0,3.396422089707026,9.98185117967332,69.92481203007519,3.86310604096448,19.36888403274196
STU002,SES20250115_STU002_003,2025-01-15T12:04:00Z,2025-01-15T12:59:15Z,30,3479.0,2469.0,907.0,87.0,1.5004311583788446,56.17000000000001,9.186918598383972,61515.0,1140.0,179.0,0.2778,81.42366666666665,2240.0,10.121,205.0,301.0,6,51.796493245185395,13.164702500718597,0.0,4.713998275366484,25.17964932451854,pycharm,IDE,0.0,0.20984631213836524,96,1,26.070709974130494,15.349238286864042,0.0,4.713998275366484,15.349238286864042,70.96866915780396,5.14515665421098,0.0
STU003,SES20250115_STU003_001,2025-01-15T09:35:00Z,2025-01-15T10:32:28Z,30,3557.0,2873.0,463.0,111.0,1.8723643519820075,58.916333333333334,11.061335508075967,66640.0,1101.0,205.0,0.25834333333333337,80.23800000000001,2342.0,9.094,221.0,390.0,6,50.126511104863646,10.851841439415237,0.0,0.0,33.25836378971043,pycharm,IDE,0.0,0.1722694519136882,7,0,13.016587011526568,10.402024177677818,0.0,0.0,10.402024177677818,80.77031206072533,5.763283666010683,46.34252379613639
STU003,SES20250115_STU003_002,2025-01-15T10:14:00Z,2025-01-15T11:16:35Z,30,3889.0,3031.0,406.0,85.0,1.3113911031113397,57.23933333333333,9.77305988703413,69319.0,1002.0,208.0,0.20822999999999997,81.06466666666667,2659.0,9.579333333333333,226.0,287.0,6,34.53329904859861,13.0110568269478,0.0,3.7027513499614297,43.404474157881204,docs,IDE,0.03333333333333333,0.20478685006885824,64,1,10.43970172280792,6.73695037284649,0.0,3.7027513499614297,6.73695037284649,77.9377732064798,5.348418616610954,31.55384131881945
STU003,SES20250115_STU003_003,2025-01-15T10:41:00Z,2025-01-15T11:42:06Z,30,3809.0,2600.0,637.0,89.0,1.4019427671304805,55.018666666666675,11.588367078909588,66249.0,987.0,197.0,0.2837433333333334,79.31533333333333,2306.0,9.45,253.0,278.0,5,38.69782095038068,22.000525072197426,3.019165135206091,0.0,31.110527697558414,pycharm,IDE,0.0,0.25359919936477493,118,1,16.723549488054605,13.704384352848518,3.019165135206091,0.0,13.704384352848518,68.25938566552901,5.1719611446573905,8.293909162509848
STU004,SES20250115_STU004_001,2025-01-15T11:20:00Z,2025-01-15T12:18:15Z,30,3582.0,390.0,2771.0,112.0,1.8760469011725291,23.320666666666664,15.206227437760125,20519.0,672.0,930.0,0.07464333333333334,44.66466666666667,1006.0,4.718666666666667,29.0,31.0,3,10.496929089893914,26.968174204355112,10.971524288107203,9.296482412060302,16.303740926856506,steam,Browser,0.8,0.33689587495932327,187,1,77.35901730876606,41.17811278615299,10.971524288107203,9.296482412060302,41.17811278615299,10.887772194304858,25.963149078726964,0.0
STU004,SES20250115_STU004_002,2025-01-15T12:42:00Z,2025-01-15T13:32:59Z,30,3146.0,420.0,1695.0,89.0,1.697393515575334,28.816333333333333,17.86670170705519,21043.0,423.0,1070.0,0.08432333333333335,47.94500000000001,844.0,4.594333333333334,26.0,35.0,4,8.614113159567705,27.781309599491415,1.8753973299427844,7.374443738080101,20.3432930705658,w3schools,Browser,0.7333333333333333,0.2612269543317512,135,1,53.8779402415766,29.84742530197076,1.8753973299427844,7.374443738080101,29.84742530197076,13.350286077558804,34.011443102352196,0.0
STU004,SES20250115_STU004_003,2025-01-15T10:08:00Z,2025-01-15T11:09:41Z,30,3830.0,741.0,2979.0,80.0,1.2532637075718016,22.866333333333333,16.37070218069124,22219.0,600.0,879.0,0.07118000000000002,42.415,1236.0,5.116666666666668,32.0,48.0,1,8.694516971279374,22.036553524804177,1.2532637075718016,9.738903394255875,35.32637075718016,discord,Browser,0.8333333333333334,0.3958346967581645,159,1,77.78067885117494,44.90861618798956,1.2532637075718016,9.738903394255875,44.90861618798956,19.34725848563969,22.950391644908617,0.0
STU005,SES20250115_STU005_001,2025-01-15T12:37:00Z,2025-01-15T13:37:55Z,30,3823.0,3112.0,282.0,111.0,1.7420873659429768,56.42699999999999,8.952261595075663,68342.0,969.0,151.0,0.36966333333333334,82.59700000000001,2479.0,10.058666666666666,240.0,506.0,6,53.8059115877583,8.239602406487052,0.0,3.688202981951347,30.31650536228093,pycharm,IDE,0.0,0.17276115657975974,7,0,7.376405963902694,3.688202981951347,0.0,3.688202981951347,3.688202981951347,81.40204028250065,3.949777661522365,62.71153918015021
STU005,SES20250115_STU005_002,2025-01-15T10:25:00Z,2025-01-15T11:23:40Z,30,3622.0,2518.0,451.0,101.0,1.673108779679735,56.56266666666666,9.936350078821139,65167.0,944.0,178.0,0.33121333333333336,82.23833333333332,2517.0,9.666333333333332,176.0,351.0,6,36.858089453340696,15.626725565985645,0.0,0.0,42.60077305356157,pycharm,IDE,0.0,0.2155657955924199,42,0,12.451684152401988,8.337934842628382,0.0,0.0,8.337934842628382,69.5196024295969,4.914411927112092,20.420643685414525
STU005,SES20250115_STU005_003,2025-01-15T10:21:00Z,2025-01-15T11:21:04Z,30,3779.0,2623.0,440.0,110.0,1.746493781423657,56.00833333333334,9.580862551055738,65448.0,1149.0,226.0,0.32078666666666666,81.39766666666668,2534.0,9.624,134.0,278.0,3,40.38105318867425,8.494310664196878,4.60439269648055,0.0,40.539825350621854,docs,IDE,0.0,0.20248187381314403,52,1,11.643291876157713,7.038899179677164,4.60439269648055,0.0,7.038899179677164,69.40989679809474,5.980418100026462,21.317317506521007
STU006,SES20250115_STU006_001,2025-01-15T10:26:00Z,2025-01-15T11:25:16Z,30,3624.0,3223.0,61.0,77.0,1.2748344370860927,54.92200000000001,9.388530733471205,62125.0,870.0,238.0,0.3402566666666666,81.28699999999999,2307.0,9.262333333333332,264.0,471.0,6,60.209713024282564,4.497792494481236,0.0,0.0,28.725165562913908,pycharm,IDE,0.0,0.2047678352078045,59,1,1.683222958057395,1.683222958057395,0.0,0.0,1.683222958057395,88.93487858719647,6.567328918322296,59.68964837590665
STU006,SES20250115_STU006_002,2025-01-15T10:57:00Z,2025-01-15T11:54:25Z,30,3538.0,1937.0,787.0,107.0,1.8145845110231769,57.93266666666668,12.28796129912887,64890.0,976.0,159.0,0.3082233333333333,83.241,2332.0,9.444333333333333,169.0,246.0,5,37.22442057659695,26.31430186546071,0.0,0.0,31.967213114754102,vscode,IDE,0.0,0.1895341425135865,8,0,22.244205765969475,14.2736009044658,0.0,0.0,14.2736009044658,54.74844544940645,4.494064443188242,4.460449810223693
STU006,SES20250115_STU006_003,2025-01-15T09:27:00Z,2025-01-15T10:25:35Z,30,3593.0,2680.0,440.0,93.0,1.5530197606457,55.742000000000004,8.250653469069384,62629.0,1088.0,198.0,0.24340666666666672,83.17133333333332,2452.0,9.356,177.0,305.0,5,36.43195101586418,17.339270804341776,0.0,2.56053437239076,38.15752852769273,docs,IDE,0.0,0.23044416940695236,90,1,12.24603395491233,9.68549958252157,0.0,2.56053437239076,9.68549958252157,74.58947954355692,5.510715279710548,24.17259751103336
STU007,SES20250115_STU007_001,2025-01-15T10:38:00Z,2025-01-15T11:39:37Z,30,3783.0,1600.0,1684.0,80.0,1.2688342585249803,40.44666666666667,15.353138513744423,45206.0,792.0,462.0,0.18285666666666664,64.49866666666667,1732.0,6.765000000000001,40.0,94.0,3,10.256410256410255,27.570711075865717,0.0,11.498810467882633,38.46153846153847,terminal,Browser,0.03333333333333333,0.25187128944477577,96,1,44.51493523658472,30.00264340470526,0.0,11.498810467882633,30.00264340470526,42.294475284166005,12.212529738302933,0.0
STU007,SES20250115_STU007_002,2025-01-15T12:29:00Z,2025-01-15T13:21:49Z,30,3265.0,1677.0,978.0,104.0,1.9111791730474732,40.470666666666666,12.327860299157983,39708.0,679.0,377.0,0.26083666666666666,59.885666666666665,1560.0,6.856666666666667,85.0,143.0,5,39.6937212863706,22.2052067381317,0.0,0.6431852986217458,25.911179173047472,vscode,IDE,0.0,0.2267178032567464,96,1,29.95405819295559,19.264931087289433,0.0,0.6431852986217458,19.264931087289433,51.362940275650836,11.546707503828484,0.0
STU007,SES20250115_STU007_003,2025-01-15T12:02:00Z,2025-01-15T13:02:53Z,30,3754.0,1532.0,2016.0,77.0,1.2306872669152904,41.04,15.237663206673126,42138.0,678.0,644.0,0.1709866666666667,60.54066666666666,1614.0,7.323666666666666,77.0,103.0,5,34.336707511987214,8.897176345231752,0.0,20.2184336707512,19.392647842301542,vscode,IDE,0.2,0.2900678804663654,146,1,53.702717101758125,28.66275972296217,0.0,20.2184336707512,28.66275972296217,40.80980287693127,17.155034629728288,0.0
STU008,SES20250115_STU008_001,2025-01-15T10:35:00Z,2025-01-15T11:34:23Z,30,3688.0,625.0,2994.0,100.0,1.6268980477223427,29.20566666666667,19.50357209732503,22883.0,410.0,1172.0,0.12410000000000002,41.56833333333334,893.0,4.939000000000001,56.0,38.0,3,12.825379609544468,10.601952277657267,10.412147505422993,15.075921908893708,19.305856832971802,vlc,Media,0.4666666666666667,0.44707200462095653,129,1,81.1822125813449,42.624728850325376,10.412147505422993,15.075921908893708,42.624728850325376,16.946854663774403,31.77874186550976,0.0
